date,Qobs_mm,Qsim_mm
1984-01-01,0.6336,0.590319881313967
1984-01-02,0.8256,0.81952583338832
1984-01-03,2.928,4.51270150148957
1984-01-04,1.824,1.94873935660136
1984-01-05,1.5,1.62594403454182
1984-01-06,1.356,2.17192499701991
1984-01-07,1.272,1.49610932046015
1984-01-08,1.128,0.867409347346717
1984-01-09,0.9456,0.838460698636177
1984-01-10,1.272,1.19679806820705
1984-01-11,1.2,1.70319671879023
1984-01-12,1.5,1.7209025341809
1984-01-13,1.584,1.83569228323631
1984-01-14,1.668,1.79978613091597
1984-01-15,1.0056,0.920848536823484
1984-01-16,1.0656,1.73726485545795
1984-01-17,1.668,1.97980142670028
1984-01-18,1.668,1.0791715471581
1984-01-19,1.356,1.69218016722299
1984-01-20,1.272,1.18883028803662
1984-01-21,1.584,1.27867346249612
1984-01-22,0.9456,0.941053505123554
1984-01-23,0.9456,0.771294567724906
1984-01-24,1.128,0.989824090734452
1984-01-25,1.128,1.01546012293884
1984-01-26,1.2,0.831781317665315
1984-01-27,3.144,4.05749801858147
1984-01-28,3.672,4.00398561922991
1984-01-29,1.992,1.58042923221695
1984-01-30,1.992,2.84807828851864
1984-01-31,1.824,2.12724212802547
1984-02-01,1.992,1.94502848655502
1984-02-02,2.832,3.70681043686247
1984-02-03,2.736,3.56620421763841
1984-02-04,3.144,4.04133987382039
1984-02-05,2.268,2.8214361254322
1984-02-06,2.544,3.06152693337714
1984-02-07,2.544,2.63078917140096
1984-02-08,2.928,2.85130112744272
1984-02-09,3.768,3.60259598815317
1984-02-10,2.448,2.16627760699004
1984-02-11,2.736,2.72943227845596
1984-02-12,2.544,1.95611636901267
1984-02-13,2.172,3.89027703594146
1984-02-14,3.552,5.02148752934452
1984-02-15,3.768,3.00056908327965
1984-02-16,3.024,2.87534321299825
1984-02-17,3.36,3.14505362542775
1984-02-18,3.984,5.06888079843631
1984-02-19,3.456,3.55507026122626
1984-02-20,2.736,3.05768905529062
1984-02-21,2.832,2.95277243821262
1984-02-22,2.736,2.84263537520149
1984-02-23,2.64,3.8827639657652
1984-02-24,2.448,2.43141172114714
1984-02-25,1.992,3.0383534558217
1984-02-26,1.428,1.02401388830153
1984-02-27,1.0656,1.29211749710069
1984-02-28,1.908,2.06543573322252
1984-02-29,1.824,2.01978553524685
1984-03-01,1.5,1.72932363028546
1984-03-02,1.428,1.32496047286606
1984-03-03,1.128,1.09111117593056
1984-03-04,1.0656,0.870701322912293
1984-03-05,1.0656,0.859370142738257
1984-03-06,1.824,2.06381679886167
1984-03-07,1.668,1.95575045371506
1984-03-08,1.5,1.59568963291486
1984-03-09,1.356,1.78677217364388
1984-03-10,1.2,2.0873297682803
1984-03-11,0.9456,0.879887206817737
1984-03-12,0.8856,0.526813663785239
1984-03-13,1.356,1.82387438846162
1984-03-14,0.9456,0.833855233496438
1984-03-15,0.9456,0.83819140321057
1984-03-16,1.0056,1.35922762588987
1984-03-17,1.0056,0.984406665969358
1984-03-18,0.7296,0.568608724080219
1984-03-19,0.4704,0.628236301739847
1984-03-20,0.5472,0.579574773079328
1984-03-21,0.6336,0.680750474609283
1984-03-22,0.6336,0.741103780262745
1984-03-23,0.6336,0.620099953787701
1984-03-24,0.5472,0.717473705126923
1984-03-25,0.3936,0.709140912783026
1984-03-26,0.3936,0.674906384148324
1984-03-27,0.8856,1.21846161837308
1984-03-28,0.7776,0.910008512715859
1984-03-29,0.7296,0.709688212208346
1984-03-30,0.6336,0.897752416920534
1984-03-31,0.7296,0.981718077600602
1984-04-01,0.3936,0.775266358043633
1984-04-02,0.4704,0.673598349893646
1984-04-03,0.5472,0.526188751826526
1984-04-04,0.5472,0.826085227914364
1984-04-05,0.7776,0.705630753109691
1984-04-06,0.7776,1.40067449850614
1984-04-07,1.5,2.29702705626497
1984-04-08,0.8256,0.818390971582615
1984-04-09,0.7776,0.635130006840959
1984-04-10,1.0056,0.88645317496716
1984-04-11,1.5,1.67783682456753
1984-04-12,2.268,2.24105762553178
1984-04-13,2.172,2.09356089165194
1984-04-14,1.824,1.51514915748665
1984-04-15,1.74,1.80685636540125
1984-04-16,1.2,1.03857891856725
1984-04-17,2.268,1.57933955596245
1984-04-18,2.736,2.61605519574902
1984-04-19,2.448,3.22308023208353
1984-04-20,2.268,2.06685107936287
1984-04-21,2.088,2.5464245073247
1984-04-22,1.824,1.28590902407282
1984-04-23,1.272,1.31745325509363
1984-04-24,1.668,1.99033757849138
1984-04-25,1.824,2.06261014322262
1984-04-26,1.584,1.70704383470818
1984-04-27,1.272,1.14068141745439
1984-04-28,1.428,1.21634476313435
1984-04-29,1.2,0.979171040909579
1984-04-30,0.8256,0.893073783936592
1984-05-01,0.7296,0.609769778818731
1984-05-02,1.128,1.04964629763715
1984-05-03,1.0056,0.991380670425324
1984-05-04,1.128,1.86495462862112
1984-05-05,1.272,1.13752796411396
1984-05-06,1.0656,1.18565150155806
1984-05-07,0.7776,0.834000290076599
1984-05-08,0.8256,0.684412429820781
1984-05-09,0.7776,0.803215631370598
1984-05-10,0.8256,1.23783807556179
1984-05-11,0.7296,0.858665602488221
1984-05-12,0.8856,0.939478576740819
1984-05-13,0.9456,0.894832858875543
1984-05-14,2.268,1.43639518172913
1984-05-15,2.736,3.79561244007181
1984-05-16,2.448,1.79395331707721
1984-05-17,3.36,4.23304467417345
1984-05-18,3.024,5.08061031892553
1984-05-19,2.928,2.15457482812852
1984-05-20,2.64,3.2948574204799
1984-05-21,1.74,1.71277837743661
1984-05-22,1.668,1.18924787452635
1984-05-23,1.908,1.37975126746016
1984-05-24,1.824,1.29109505075335
1984-05-25,1.74,1.60312542445467
1984-05-26,1.272,0.931896574521344
1984-05-27,1.128,1.40300760549016
1984-05-28,0.8256,1.45469412160986
1984-05-29,1.0656,0.815009355685113
1984-05-30,1.0056,1.2819198808147
1984-05-31,1.0056,1.27602666397935
1984-06-01,0.9456,1.07761216406505
1984-06-02,0.9456,0.774666010602067
1984-06-03,0.8856,0.903113426874705
